Ativo,Data,Último (R$),Var. Dia (%),Var. Sem. (%),Var. Mês (%),Var. Ano (%),Var. 12M (%),Val. Mín,Val. Máx,Volume,Variação Dia %,Valor Inicial (R$),Var Semanal %,Vlr Inicial Sem (R$),Qtd de Ações,Var Dia (R$),Var Sem (R$),Resultado Dia,Resultado Semana,Nome da Empresa,Segmento,Idade,Cat_Idade
NTCO3,1/26/2024,"15,97","-1,41","-7,37","-5,45","-5,45","23,51","15,84","16,43","213,23 M","-0,014","16,20","-0,07","17,24",846.244.302,"-193.280.001,21","-1.075.267.445,50",Desceu,Desceu,Natura,Cosméticos,55,Entre 50 e 100 anos
ASAI3,1/26/2024,"13,80","-1,42","-3,5",2,2,"-34,02","13,63",14,"79,67 M","-0,014","14,00","-0,04","14,30",1.349.217.892,"-268.201.195,09","-675.308.022,63",Desceu,Desceu,Assaí,Varejo,10,Menos de 50 anos
B3SA3,1/26/2024,"13,22","-1,56","-4,13","-8,58","-8,58","3,88","13,18","13,42","487,27 M","-0,016","13,43","-0,04","13,79",5.602.790.110,"-1.173.785.666,36","-3.190.826.078,02",Desceu,Desceu,B3,Serviços Financeiros,9,Menos de 50 anos
HYPE3,1/26/2024,"31,08","-1,61","-5,27","-13,06","-13,06","-27,52","30,91","31,72","107,71 M","-0,016","31,59","-0,05","32,81",409.490.388,"-208.257.014,20","-708.023.707,75",Desceu,Desceu,Hypera,Farmacêutica,20,Menos de 50 anos
SMTO3,1/26/2024,"28,20","-1,94","0,36","-3,79","-3,79","17,1","28,13","28,97","73,55 M","-0,019","28,76","0,00","28,10",142.377.330,"-79.432.785,74","14.402.298,27",Desceu,Subiu,São Martinho,Agronegócio,86,Entre 50 e 100 anos
HAPV3,1/26/2024,"3,93","-1,99","-2,24","-11,69","-11,69","-11,49","3,89","4,06","277,57 M","-0,020","4,01","-0,02","4,02",4.394.332.306,"-350.645.389,91","-395.705.668,54",Desceu,Desceu,Hapvida,Saúde,41,Menos de 50 anos
LREN3,1/26/2024,"15,78","-2,29","-5,62","-9,41","-9,41","-24,94","15,7","16,23","194,2 M","-0,023","16,15","-0,06","16,72",951.329.770,"-351.831.366,64","-893.911.303,14",Desceu,Desceu,Lojas Renner,Varejo,59,Entre 50 e 100 anos
CRFB3,1/26/2024,"10,71","-2,45","-9,47","-13,98","-13,98","-32,72","10,7","11,08","38,19 M","-0,025","10,98","-0,09","11,83",533.990.587,"-143.635.530,57","-598.247.002,08",Desceu,Desceu,Carrefour Brasil,Varejo,45,Menos de 50 anos
BHIA3,1/26/2024,"8,70","-2,46","-6,95","-23,55","-23,55","-85,74","8,67","8,95","27,54 M","-0,025","8,92","-0,07","9,35",94.843.047,"-20.810.240,84","-61.630.143,33",Desceu,Desceu,Casas Bahia,Varejo,70,Entre 50 e 100 anos
RENT3,1/26/2024,"56,24","-3,63","-6,41","-11,57","-11,57","-2,77","56,04","58,9","624,74 M","-0,036","58,36","-0,06","60,09",853.202.347,"-1.807.432.634,46","-3.286.441.724,22",Desceu,Desceu,Localiza,Aluguel de Carros,48,Menos de 50 anos
CVCB3,1/26/2024,"3,07","-4,36","-5,54","-12,29","-12,29","-36,83","3,05","3,23","101,46 M","-0,044","3,21","-0,06","3,25",525.582.771,"-73.557.408,06","-94.632.719,17",Desceu,Desceu,CVC,Turismo,48,Menos de 50 anos
GOLL4,1/26/2024,"5,92","-8,07","-15,91",-34,-34,"-25,44","5,51","6,02","154,36 M","-0,081","6,44","-0,16","7,04",198.184.909,"-102.993.202,62","-221.982.181,72",Desceu,Desceu,GOL,Transporte Aéreo,22,Menos de 50 anos
